method,size,total_mb,chunks,streams,chunk_elems,iters,repeat,total_ms,effective_transfer_gb_s,speedup_vs_pageable_seq,speedup_vs_pinned_seq,max_abs_error,async_engine_count,concurrent_kernels,status
pageable_sequential,16777216,64.000000,2,1,8388608,16,5,48.933340,2.742869,1.000000,0.942871,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,2,1,8388608,16,5,46.137820,2.909061,1.060591,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,2,1,8388608,16,5,46.333320,2.896786,1.056116,0.995781,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,2,2,8388608,16,5,35.118640,3.821837,1.393372,1.313770,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,2,4,8388608,16,5,,,,,,,,invalid_streams_gt_chunks
pinned_streams_8,16777216,64.000000,2,8,8388608,16,5,,,,,,,,invalid_streams_gt_chunks
pageable_sequential,16777216,64.000000,4,1,4194304,16,5,50.863500,2.638783,1.000000,0.907962,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,4,1,4194304,16,5,46.182140,2.906269,1.101367,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,4,1,4194304,16,5,46.832460,2.865912,1.086074,0.986114,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,4,2,4194304,16,5,30.509240,4.399248,1.667151,1.513710,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,4,4,4194304,16,5,29.953660,4.480846,1.698073,1.541786,0.000000,2,1,ok
pinned_streams_8,16777216,64.000000,4,8,4194304,16,5,,,,,,,,invalid_streams_gt_chunks
pageable_sequential,16777216,64.000000,8,1,2097152,16,5,51.928380,2.584670,1.000000,0.925723,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,8,1,2097152,16,5,48.071300,2.792055,1.080237,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,8,1,2097152,16,5,48.568540,2.763471,1.069177,0.989762,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,8,2,2097152,16,5,28.924920,4.640211,1.795282,1.661934,0.000000,2,1,ok
